level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	2	1	0	0	20	422	578	9	-1	
4	1	2	1	1	0	20	422	578	9	-1	
5	1	2	1	1	1	20	422	578	9	95	 
2	1	3	0	0	0	20	500	578	9	-1	
3	1	3	1	0	0	20	500	578	9	-1	
4	1	3	1	1	0	20	500	578	9	-1	
5	1	3	1	1	1	20	500	578	9	95	 
2	1	4	0	0	0	20	629	578	5	-1	
3	1	4	1	0	0	20	629	578	5	-1	
4	1	4	1	1	0	20	629	578	5	-1	
5	1	4	1	1	1	20	629	578	5	95	 
2	1	5	0	0	0	20	749	578	5	-1	
3	1	5	1	0	0	20	749	578	5	-1	
4	1	5	1	1	0	20	749	578	5	-1	
5	1	5	1	1	1	20	749	578	5	95	 
2	1	6	0	0	0	20	869	578	14	-1	
3	1	6	1	0	0	20	869	578	14	-1	
4	1	6	1	1	0	20	869	578	14	-1	
5	1	6	1	1	1	20	869	578	14	95	 
2	1	7	0	0	0	20	952	578	9	-1	
3	1	7	1	0	0	20	952	578	9	-1	
4	1	7	1	1	0	20	952	578	9	-1	
5	1	7	1	1	1	20	952	578	9	95	 
2	1	8	0	0	0	20	977	578	10	-1	
3	1	8	1	0	0	20	977	578	10	-1	
4	1	8	1	1	0	20	977	578	10	-1	
5	1	8	1	1	1	20	977	578	10	95	 
2	1	9	0	0	0	20	1055	578	9	-1	
3	1	9	1	0	0	20	1055	578	9	-1	
4	1	9	1	1	0	20	1055	578	9	-1	
5	1	9	1	1	1	20	1055	578	9	95	 
2	1	10	0	0	0	20	1184	578	6	-1	
3	1	10	1	0	0	20	1184	578	6	-1	
4	1	10	1	1	0	20	1184	578	6	-1	
5	1	10	1	1	1	20	1184	578	6	95	 
2	1	11	0	0	0	20	1305	578	5	-1	
3	1	11	1	0	0	20	1305	578	5	-1	
4	1	11	1	1	0	20	1305	578	5	-1	
5	1	11	1	1	1	20	1305	578	5	95	 
2	1	12	0	0	0	20	1425	578	5	-1	
3	1	12	1	0	0	20	1425	578	5	-1	
4	1	12	1	1	0	20	1425	578	5	-1	
5	1	12	1	1	1	20	1425	578	5	95	 
2	1	13	0	0	0	20	1545	578	5	-1	
3	1	13	1	0	0	20	1545	578	5	-1	
4	1	13	1	1	0	20	1545	578	5	-1	
5	1	13	1	1	1	20	1545	578	5	95	 
2	1	14	0	0	0	20	1665	578	6	-1	
3	1	14	1	0	0	20	1665	578	6	-1	
4	1	14	1	1	0	20	1665	578	6	-1	
5	1	14	1	1	1	20	1665	578	6	95	 
2	1	15	0	0	0	20	1786	578	5	-1	
3	1	15	1	0	0	20	1786	578	5	-1	
4	1	15	1	1	0	20	1786	578	5	-1	
5	1	15	1	1	1	20	1786	578	5	95	 
2	1	16	0	0	0	20	1906	578	5	-1	
3	1	16	1	0	0	20	1906	578	5	-1	
4	1	16	1	1	0	20	1906	578	5	-1	
5	1	16	1	1	1	20	1906	578	5	95	 
2	1	17	0	0	0	20	2026	578	5	-1	
3	1	17	1	0	0	20	2026	578	5	-1	
4	1	17	1	1	0	20	2026	578	5	-1	
5	1	17	1	1	1	20	2026	578	5	95	 
2	1	18	0	0	0	20	2146	578	5	-1	
3	1	18	1	0	0	20	2146	578	5	-1	
4	1	18	1	1	0	20	2146	578	5	-1	
5	1	18	1	1	1	20	2146	578	5	95	 
2	1	19	0	0	0	35	338	554	1864	-1	
3	1	19	1	0	0	35	338	554	1864	-1	
4	1	19	1	1	0	39	338	550	24	-1	
5	1	19	1	1	1	39	338	49	23	96	Full
5	1	19	1	1	2	98	338	80	23	96	Serial
5	1	19	1	1	3	189	338	111	23	96	Number
5	1	19	1	1	4	482	339	107	23	96	Current
4	1	19	1	2	0	37	378	551	28	-1	
5	1	19	1	2	1	37	379	65	23	87	Year
5	1	19	1	2	2	147	379	71	23	87	Make
5	1	19	1	2	3	347	379	53	23	96	Moc
5	1	19	1	2	4	465	378	123	28	95	Principal
4	1	19	1	3	0	35	456	365	29	-1	
5	1	19	1	3	1	35	456	125	23	96	Customer
5	1	19	1	3	2	163	456	153	23	95	Collateral
5	1	19	1	3	3	325	456	75	29	95	Type:
4	1	19	1	4	0	39	541	549	27	-1	
5	1	19	1	4	1	39	541	196	23	88	KNAE55LC7J6
5	1	19	1	4	2	246	541	98	23	96	028495
5	1	19	1	4	3	456	541	132	27	96	49,984.00
4	1	19	1	5	0	45	591	355	23	-1	
5	1	19	1	5	1	45	591	66	23	62	2018
5	1	19	1	5	2	172	591	46	22	62	KIA
5	1	19	1	5	3	346	591	54	23	44	STIt
4	1	19	1	6	0	38	662	550	27	-1	
5	1	19	1	6	1	38	662	206	23	40	5XYPK4A53KG
5	1	19	1	6	2	254	662	98	23	94	448403
5	1	19	1	6	3	456	662	132	27	96	44,281.00
4	1	19	1	7	0	45	712	355	23	-1	
5	1	19	1	7	1	45	712	66	23	59	2019
5	1	19	1	7	2	0	0	600	2350	45	~
5	1	19	1	7	3	172	712	46	22	95	KIA
5	1	19	1	7	4	346	712	54	23	96	SOF
4	1	19	1	8	0	38	782	550	27	-1	
5	1	19	1	8	1	38	782	206	23	71	5XYPK4A57KG
5	1	19	1	8	2	254	782	98	23	91	499435
5	1	19	1	8	3	457	782	131	27	95	39,513.00
4	1	19	1	9	0	45	832	355	23	-1	
5	1	19	1	9	1	45	832	66	23	59	2019
5	1	19	1	9	2	0	0	600	2350	45	~
5	1	19	1	9	3	172	832	46	22	95	KIA
5	1	19	1	9	4	346	832	54	23	96	SOF
4	1	19	1	10	0	37	908	550	27	-1	
5	1	19	1	10	1	37	908	86	23	95	Total:
5	1	19	1	10	2	137	908	87	23	92	DEMO
5	1	19	1	10	3	232	908	168	23	69	AUTOMOBII
5	1	19	1	10	4	441	908	146	27	96	133,778.00
4	1	19	1	11	0	35	1012	365	29	-1	
5	1	19	1	11	1	35	1012	125	23	96	Customer
5	1	19	1	11	2	163	1012	153	23	95	Collateral
5	1	19	1	11	3	325	1012	75	29	96	Type:
4	1	19	1	12	0	39	1097	549	27	-1	
5	1	19	1	12	1	39	1097	195	23	92	KNAS34J62K6
5	1	19	1	12	2	245	1097	96	23	96	009872
5	1	19	1	12	3	457	1097	131	27	96	60,514.00
4	1	19	1	13	0	45	1147	355	23	-1	
5	1	19	1	13	1	45	1147	66	23	53	2019
5	1	19	1	13	2	172	1147	46	22	53	KIA
5	1	19	1	13	3	347	1147	53	23	69	K90:
4	1	19	1	14	0	39	1217	549	23	-1	
5	1	19	1	14	1	39	1217	195	23	88	KNAS24J64K6
5	1	19	1	14	2	245	1217	96	23	96	010282
5	1	19	1	14	3	532	1217	56	23	96	0.00
4	1	19	1	15	0	45	1267	173	23	-1	
5	1	19	1	15	1	45	1267	66	23	53	2019
5	1	19	1	15	2	172	1267	46	22	53	KIA
4	1	19	1	16	0	38	1337	550	23	-1	
5	1	19	1	16	1	38	1337	184	23	85	3KPF24AD6KE
5	1	19	1	16	2	224	1337	125	23	96	011320
5	1	19	1	16	3	532	1337	56	23	96	0.00
4	1	19	1	17	0	45	1387	355	23	-1	
5	1	19	1	17	1	45	1387	66	23	53	2019
5	1	19	1	17	2	172	1387	46	22	53	KIA
5	1	19	1	17	3	347	1387	53	23	89	FOF
4	1	19	1	18	0	38	1458	550	27	-1	
5	1	19	1	18	1	38	1458	205	23	84	3KPF34ADXKE
5	1	19	1	18	2	255	1458	97	23	96	012757
5	1	19	1	18	3	456	1458	132	27	96	21,976.00
4	1	19	1	19	0	45	1508	355	23	-1	
5	1	19	1	19	1	45	1508	66	23	53	2019
5	1	19	1	19	2	172	1508	46	22	53	KIA
5	1	19	1	19	3	347	1508	53	23	88	FOF
4	1	19	1	20	0	38	1578	550	27	-1	
5	1	19	1	20	1	38	1578	202	23	81	3KPF34ADOKE
5	1	19	1	20	2	251	1578	97	23	96	012864
5	1	19	1	20	3	456	1578	132	27	95	21,859.00
4	1	19	1	21	0	45	1628	355	23	-1	
5	1	19	1	21	1	45	1628	66	23	53	2019
5	1	19	1	21	2	172	1628	46	22	53	KIA
5	1	19	1	21	3	347	1628	53	23	88	FOF
4	1	19	1	22	0	39	1698	549	27	-1	
5	1	19	1	22	1	39	1698	195	23	75	KNAE25LA0J6
5	1	19	1	22	2	245	1698	97	23	96	017300
5	1	19	1	22	3	457	1698	131	27	96	38,075.00
4	1	19	1	23	0	45	1748	355	23	-1	
5	1	19	1	23	1	45	1748	66	23	76	2018
5	1	19	1	23	2	172	1748	46	22	76	KIA
5	1	19	1	23	3	346	1748	54	23	59	STit
4	1	19	1	24	0	39	1818	549	27	-1	
5	1	19	1	24	1	39	1818	196	23	80	KNAE55LC9J6
5	1	19	1	24	2	246	1818	97	23	96	020172
5	1	19	1	24	3	456	1818	132	27	96	47,742.00
4	1	19	1	25	0	45	1868	355	23	-1	
5	1	19	1	25	1	45	1868	66	23	76	2018
5	1	19	1	25	2	172	1868	46	22	76	KIA
5	1	19	1	25	3	346	1868	54	23	59	STit
4	1	19	1	26	0	38	1938	550	27	-1	
5	1	19	1	26	1	38	1938	202	23	64	3KPF34ADOKE
5	1	19	1	26	2	251	1938	97	23	96	022844
5	1	19	1	26	3	456	1938	132	27	95	21,599.00
4	1	19	1	27	0	45	1988	355	23	-1	
5	1	19	1	27	1	45	1988	66	23	53	2019
5	1	19	1	27	2	172	1988	46	22	53	KIA
5	1	19	1	27	3	347	1988	53	23	88	FOF
4	1	19	1	28	0	38	2059	550	27	-1	
5	1	19	1	28	1	38	2059	202	23	85	3KPF24AD8KE
5	1	19	1	28	2	251	2059	97	23	96	026336
5	1	19	1	28	3	459	2059	129	27	96	19,593.00
4	1	19	1	29	0	45	2109	355	23	-1	
5	1	19	1	29	1	45	2109	66	23	72	2019
5	1	19	1	29	2	172	2109	46	22	72	KIA
5	1	19	1	29	3	347	2109	53	23	87	FOF
4	1	19	1	30	0	39	2179	549	23	-1	
5	1	19	1	30	1	39	2179	196	23	90	KNAE55LC7J6
5	1	19	1	30	2	246	2179	98	23	96	028495
5	1	19	1	30	3	532	2179	56	23	90	0.00
2	1	20	0	0	0	45	2229	355	23	-1	
3	1	20	1	0	0	45	2229	355	23	-1	
4	1	20	1	1	0	45	2229	355	23	-1	
5	1	20	1	1	1	45	2229	66	23	96	2018
5	1	20	1	1	2	172	2229	46	22	95	KIA
5	1	20	1	1	3	346	2229	54	23	48	STit
2	1	21	0	0	0	20	2266	578	6	-1	
3	1	21	1	0	0	20	2266	578	6	-1	
4	1	21	1	1	0	20	2266	578	6	-1	
5	1	21	1	1	1	20	2266	578	6	95	 
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	66	0	534	88	-1	
3	1	1	1	0	0	66	0	534	88	-1	
4	1	1	1	1	0	66	0	534	88	-1	
5	1	1	1	1	1	66	6	229	64	94	CHASE
5	1	1	1	1	2	305	0	137	81	10	(er
5	1	1	1	1	3	444	9	156	79	0	inec
2	1	2	0	0	0	20	422	578	9	-1	
3	1	2	1	0	0	20	422	578	9	-1	
4	1	2	1	1	0	20	422	578	9	-1	
5	1	2	1	1	1	20	422	578	9	95	 
2	1	3	0	0	0	20	500	578	9	-1	
3	1	3	1	0	0	20	500	578	9	-1	
4	1	3	1	1	0	20	500	578	9	-1	
5	1	3	1	1	1	20	500	578	9	95	 
2	1	4	0	0	0	20	629	578	5	-1	
3	1	4	1	0	0	20	629	578	5	-1	
4	1	4	1	1	0	20	629	578	5	-1	
5	1	4	1	1	1	20	629	578	5	95	 
2	1	5	0	0	0	20	749	578	5	-1	
3	1	5	1	0	0	20	749	578	5	-1	
4	1	5	1	1	0	20	749	578	5	-1	
5	1	5	1	1	1	20	749	578	5	95	 
2	1	6	0	0	0	20	869	578	5	-1	
3	1	6	1	0	0	20	869	578	5	-1	
4	1	6	1	1	0	20	869	578	5	-1	
5	1	6	1	1	1	20	869	578	5	95	 
2	1	7	0	0	0	20	989	578	6	-1	
3	1	7	1	0	0	20	989	578	6	-1	
4	1	7	1	1	0	20	989	578	6	-1	
5	1	7	1	1	1	20	989	578	6	95	 
2	1	8	0	0	0	20	1110	578	5	-1	
3	1	8	1	0	0	20	1110	578	5	-1	
4	1	8	1	1	0	20	1110	578	5	-1	
5	1	8	1	1	1	20	1110	578	5	95	 
2	1	9	0	0	0	20	1230	578	5	-1	
3	1	9	1	0	0	20	1230	578	5	-1	
4	1	9	1	1	0	20	1230	578	5	-1	
5	1	9	1	1	1	20	1230	578	5	95	 
2	1	10	0	0	0	20	1350	578	5	-1	
3	1	10	1	0	0	20	1350	578	5	-1	
4	1	10	1	1	0	20	1350	578	5	-1	
5	1	10	1	1	1	20	1350	578	5	95	 
2	1	11	0	0	0	20	1470	578	6	-1	
3	1	11	1	0	0	20	1470	578	6	-1	
4	1	11	1	1	0	20	1470	578	6	-1	
5	1	11	1	1	1	20	1470	578	6	95	 
2	1	12	0	0	0	20	1591	578	5	-1	
3	1	12	1	0	0	20	1591	578	5	-1	
4	1	12	1	1	0	20	1591	578	5	-1	
5	1	12	1	1	1	20	1591	578	5	95	 
2	1	13	0	0	0	20	1711	578	5	-1	
3	1	13	1	0	0	20	1711	578	5	-1	
4	1	13	1	1	0	20	1711	578	5	-1	
5	1	13	1	1	1	20	1711	578	5	95	 
2	1	14	0	0	0	20	1831	578	5	-1	
3	1	14	1	0	0	20	1831	578	5	-1	
4	1	14	1	1	0	20	1831	578	5	-1	
5	1	14	1	1	1	20	1831	578	5	95	 
2	1	15	0	0	0	20	1951	578	5	-1	
3	1	15	1	0	0	20	1951	578	5	-1	
4	1	15	1	1	0	20	1951	578	5	-1	
5	1	15	1	1	1	20	1951	578	5	95	 
2	1	16	0	0	0	20	2071	578	6	-1	
3	1	16	1	0	0	20	2071	578	6	-1	
4	1	16	1	1	0	20	2071	578	6	-1	
5	1	16	1	1	1	20	2071	578	6	95	 
2	1	17	0	0	0	20	2192	578	5	-1	
3	1	17	1	0	0	20	2192	578	5	-1	
4	1	17	1	1	0	20	2192	578	5	-1	
5	1	17	1	1	1	20	2192	578	5	95	 
2	1	18	0	0	0	35	338	554	1913	-1	
3	1	18	1	0	0	35	338	554	1913	-1	
4	1	18	1	1	0	39	338	550	24	-1	
5	1	18	1	1	1	39	338	49	23	96	Full
5	1	18	1	1	2	98	338	80	23	96	Serial
5	1	18	1	1	3	189	338	111	23	96	Number
5	1	18	1	1	4	482	339	107	23	96	Current
4	1	18	1	2	0	37	378	551	28	-1	
5	1	18	1	2	1	37	379	65	23	87	Year
5	1	18	1	2	2	147	379	71	23	87	Make
5	1	18	1	2	3	347	379	53	23	96	Moc
5	1	18	1	2	4	465	378	123	28	95	Principal
4	1	18	1	3	0	35	456	365	29	-1	
5	1	18	1	3	1	35	456	125	23	96	Customer
5	1	18	1	3	2	163	456	153	23	95	Collateral
5	1	18	1	3	3	325	456	75	29	95	Type:
4	1	18	1	4	0	38	541	550	23	-1	
5	1	18	1	4	1	38	541	202	23	90	3KPF54AD4KE
5	1	18	1	4	2	251	541	97	23	96	033436
5	1	18	1	4	3	532	541	56	23	85	0.00
4	1	18	1	5	0	45	591	355	23	-1	
5	1	18	1	5	1	45	591	66	23	83	2019
5	1	18	1	5	2	172	591	46	22	83	KIA
5	1	18	1	5	3	347	591	53	23	88	FOF
4	1	18	1	6	0	38	662	550	27	-1	
5	1	18	1	6	1	38	662	202	23	91	3KPF34AD7KE
5	1	18	1	6	2	251	662	98	23	96	033999
5	1	18	1	6	3	456	662	132	27	96	20,692.00
4	1	18	1	7	0	45	712	355	23	-1	
5	1	18	1	7	1	45	712	66	23	81	2019
5	1	18	1	7	2	172	712	46	22	87	KIA
5	1	18	1	7	3	347	712	53	23	89	FOF
4	1	18	1	8	0	38	782	550	23	-1	
5	1	18	1	8	1	38	782	202	23	90	3KPF24AD2KE
5	1	18	1	8	2	251	782	94	23	96	034531
5	1	18	1	8	3	532	782	56	23	95	0.00
4	1	18	1	9	0	45	832	355	23	-1	
5	1	18	1	9	1	45	832	66	23	81	2019
5	1	18	1	9	2	172	832	46	22	87	KIA
5	1	18	1	9	3	347	832	53	23	89	FOF
4	1	18	1	10	0	38	902	550	27	-1	
5	1	18	1	10	1	38	902	202	23	90	3KPF24AD1KE
5	1	18	1	10	2	251	902	98	23	96	035038
5	1	18	1	10	3	459	902	129	27	95	18,222.00
4	1	18	1	11	0	45	952	355	23	-1	
5	1	18	1	11	1	45	952	66	23	81	2019
5	1	18	1	11	2	172	952	46	22	87	KIA
5	1	18	1	11	3	347	952	53	23	89	FOF
4	1	18	1	12	0	38	1022	550	23	-1	
5	1	18	1	12	1	38	1022	202	23	87	3KPF54AD8KE
5	1	18	1	12	2	251	1022	98	23	95	035349
5	1	18	1	12	3	532	1022	56	23	95	0.00
4	1	18	1	13	0	45	1072	355	23	-1	
5	1	18	1	13	1	45	1072	66	23	81	2019
5	1	18	1	13	2	172	1072	46	22	87	KIA
5	1	18	1	13	3	347	1072	53	23	89	FOF
4	1	18	1	14	0	38	1142	550	27	-1	
5	1	18	1	14	1	38	1142	202	23	91	3KPF34AD6KE
5	1	18	1	14	2	251	1142	97	23	95	035954
5	1	18	1	14	3	456	1142	132	27	96	22,097.00
4	1	18	1	15	0	45	1192	355	23	-1	
5	1	18	1	15	1	45	1192	66	23	81	2019
5	1	18	1	15	2	172	1192	46	22	87	KIA
5	1	18	1	15	3	347	1192	53	23	89	FOF
4	1	18	1	16	0	38	1263	550	27	-1	
5	1	18	1	16	1	38	1263	202	23	91	3KPF34AD8KE
5	1	18	1	16	2	251	1263	97	23	96	037494
5	1	18	1	16	3	456	1263	132	27	96	20,965.00
4	1	18	1	17	0	45	1313	355	23	-1	
5	1	18	1	17	1	45	1313	66	23	84	2019
5	1	18	1	17	2	172	1313	46	22	84	KIA
5	1	18	1	17	3	347	1313	53	23	89	FOF
4	1	18	1	18	0	39	1383	549	27	-1	
5	1	18	1	18	1	39	1383	195	23	91	KNAE25LA6J6
5	1	18	1	18	2	245	1383	96	23	95	039382
5	1	18	1	18	3	457	1383	131	27	95	38,465.00
4	1	18	1	19	0	45	1433	355	23	-1	
5	1	18	1	19	1	45	1433	66	23	73	2018
5	1	18	1	19	2	172	1433	46	22	73	KIA
5	1	18	1	19	3	346	1433	54	23	61	STIt
4	1	18	1	20	0	38	1503	550	27	-1	
5	1	18	1	20	1	38	1503	202	23	90	3KPF54AD6KE
5	1	18	1	20	2	251	1503	94	23	96	039481
5	1	18	1	20	3	456	1503	132	27	96	22,746.00
4	1	18	1	21	0	45	1553	355	23	-1	
5	1	18	1	21	1	45	1553	66	23	84	2019
5	1	18	1	21	2	172	1553	46	22	84	KIA
5	1	18	1	21	3	347	1553	53	23	88	FOF
4	1	18	1	22	0	39	1623	549	27	-1	
5	1	18	1	22	1	39	1623	200	23	85	KNAE25LA5K6
5	1	18	1	22	2	250	1623	93	23	96	042601
5	1	18	1	22	3	457	1623	131	27	96	38,460.00
4	1	18	1	23	0	45	1673	355	23	-1	
5	1	18	1	23	1	45	1673	66	23	84	2019
5	1	18	1	23	2	172	1673	46	22	84	KIA
5	1	18	1	23	3	346	1673	54	23	61	STIt
4	1	18	1	24	0	39	1743	549	27	-1	
5	1	18	1	24	1	39	1743	201	23	89	KNAE45LCOK6
5	1	18	1	24	2	251	1743	97	23	96	045272
5	1	18	1	24	3	456	1743	132	27	95	44,633.00
4	1	18	1	25	0	45	1793	355	23	-1	
5	1	18	1	25	1	45	1793	66	23	84	2019
5	1	18	1	25	2	172	1793	46	22	84	KIA
5	1	18	1	25	3	346	1793	54	23	61	STIt
4	1	18	1	26	0	39	1864	549	27	-1	
5	1	18	1	26	1	39	1864	201	23	79	KNAE45LC9K6
5	1	18	1	26	2	251	1864	98	23	95	045383
5	1	18	1	26	3	456	1864	132	27	95	44,638.00
4	1	18	1	27	0	45	1914	355	23	-1	
5	1	18	1	27	1	45	1914	66	23	82	2019
5	1	18	1	27	2	172	1914	46	22	83	KIA
5	1	18	1	27	3	346	1914	54	23	69	STIt
4	1	18	1	28	0	39	1984	549	27	-1	
5	1	18	1	28	1	39	1984	201	23	85	KNAE35LCOK6
5	1	18	1	28	2	251	1984	98	23	96	047509
5	1	18	1	28	3	457	1984	131	27	95	38,465.00
4	1	18	1	29	0	45	2034	355	23	-1	
5	1	18	1	29	1	45	2034	66	23	82	2019
5	1	18	1	29	2	172	2034	46	22	83	KIA
5	1	18	1	29	3	346	2034	54	23	69	STIt
4	1	18	1	30	0	39	2104	549	27	-1	
5	1	18	1	30	1	39	2104	201	23	82	KNAE55LC4K6
5	1	18	1	30	2	251	2104	98	23	96	047569
5	1	18	1	30	3	456	2104	132	27	96	49,289.00
4	1	18	1	31	0	45	2154	355	23	-1	
5	1	18	1	31	1	45	2154	66	23	82	2019
5	1	18	1	31	2	172	2154	46	22	83	KIA
5	1	18	1	31	3	346	2154	54	23	69	STIt
4	1	18	1	32	0	39	2224	549	27	-1	
5	1	18	1	32	1	39	2224	200	23	85	KNAE15LA8K6
5	1	18	1	32	2	250	2224	97	23	96	049500
5	1	18	1	32	3	457	2224	131	27	96	35,205.00
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	66	0	534	88	-1	
3	1	1	1	0	0	66	0	534	88	-1	
4	1	1	1	1	0	66	0	534	88	-1	
5	1	1	1	1	1	66	6	229	64	94	CHASE
5	1	1	1	1	2	305	0	137	81	10	(er
5	1	1	1	1	3	444	9	156	79	0	inec
2	1	2	0	0	0	20	422	578	9	-1	
3	1	2	1	0	0	20	422	578	9	-1	
4	1	2	1	1	0	20	422	578	9	-1	
5	1	2	1	1	1	20	422	578	9	95	 
2	1	3	0	0	0	20	500	578	9	-1	
3	1	3	1	0	0	20	500	578	9	-1	
4	1	3	1	1	0	20	500	578	9	-1	
5	1	3	1	1	1	20	500	578	9	95	 
2	1	4	0	0	0	20	563	578	5	-1	
3	1	4	1	0	0	20	563	578	5	-1	
4	1	4	1	1	0	20	563	578	5	-1	
5	1	4	1	1	1	20	563	578	5	95	 
2	1	5	0	0	0	20	683	578	5	-1	
3	1	5	1	0	0	20	683	578	5	-1	
4	1	5	1	1	0	20	683	578	5	-1	
5	1	5	1	1	1	20	683	578	5	95	 
2	1	6	0	0	0	20	803	578	5	-1	
3	1	6	1	0	0	20	803	578	5	-1	
4	1	6	1	1	0	20	803	578	5	-1	
5	1	6	1	1	1	20	803	578	5	95	 
2	1	7	0	0	0	20	923	578	6	-1	
3	1	7	1	0	0	20	923	578	6	-1	
4	1	7	1	1	0	20	923	578	6	-1	
5	1	7	1	1	1	20	923	578	6	95	 
2	1	8	0	0	0	20	1044	578	5	-1	
3	1	8	1	0	0	20	1044	578	5	-1	
4	1	8	1	1	0	20	1044	578	5	-1	
5	1	8	1	1	1	20	1044	578	5	95	 
2	1	9	0	0	0	20	1164	578	5	-1	
3	1	9	1	0	0	20	1164	578	5	-1	
